,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
2850,12.353019,35.336302,12.2,0.27829125422313067,Неустойчивое напряжение бортовой сети
2860,12.388425,35.29184,12.2,0.2787235467519169,Неустойчивое напряжение бортовой сети
2870,12.423629,35.252301,12.2,0.2791472431367177,Неустойчивое напряжение бортовой сети
2880,12.427149,35.21488,12.2,0.25093101053845557,Неустойчивое напряжение бортовой сети
2890,12.39575,35.176505,12.2,0.24079012188693727,Неустойчивое напряжение бортовой сети
2900,12.358299,35.134713,12.2,0.2373055072553335,Неустойчивое напряжение бортовой сети
2910,12.283786,35.091438,12.2,0.23629241450049232,Неустойчивое напряжение бортовой сети
2920,12.311431,35.049237,12.2,0.24881004694533293,Неустойчивое напряжение бортовой сети
2930,12.350379,35.010294,12.2,0.2538727905089497,Неустойчивое напряжение бортовой сети
2940,12.364818,34.972762,12.2,0.25598036785955136,Неустойчивое напряжение бортовой сети
2950,12.341471,34.934148,12.2,0.2569923966803306,Неустойчивое напряжение бортовой сети
2960,12.321714,34.892308,12.2,0.2576087782553315,Неустойчивое напряжение бортовой сети
2970,12.302198,34.849072,12.2,0.258015759972799,Неустойчивое напряжение бортовой сети
2980,12.320774,34.8092,12.2,0.2584405840166416,Неустойчивое напряжение бортовой сети
2990,12.197063,34.777421,12.2,0.25885119005114754,Неустойчивое напряжение бортовой сети
3000,12.384571,34.73298,12.2,0.2750728655292972,Неустойчивое напряжение бортовой сети
3010,12.366104,34.686206,12.2,0.28131521774566626,Неустойчивое напряжение бортовой сети
3020,12.327382,34.637143,12.2,0.28390158142808786,Неустойчивое напряжение бортовой сети
3030,12.298972,34.587051,12.2,0.28515823979281646,Неустойчивое напряжение бортовой сети
3040,12.306995,34.535082,12.2,0.2859332893954954,Неустойчивое напряжение бортовой сети
3050,12.344074,34.489158,12.2,0.28643752379861964,Неустойчивое напряжение бортовой сети
3060,12.411465,34.438645,12.2,0.2869114391647507,Неустойчивое напряжение бортовой сети
3070,12.409017,34.391182,12.2,0.28740414843002127,Неустойчивое напряжение бортовой сети
3080,12.374323,34.353246,12.2,0.26930862230494734,Неустойчивое напряжение бортовой сети
